기간	자치구	동	일반가구	일반가구	일반가구	일반가구	일반가구	일반가구	일반가구	일반가구
기간	자치구	동	계	1인가구	2인가구	3인가구	4인가구	5인가구	6인가구	7인이상 가구
2020	영등포구	영등포본동	8,942	3,226	2,257	1,781	1,335	284	42	17
2020	영등포구	영등포동	15,539	10,170	2,843	1,444	865	173	34	10
2020	영등포구	도림동	8,474	3,625	2,297	1,405	886	207	44	10
2020	영등포구	문래동	12,180	2,947	3,216	2,979	2,489	442	93	14
2020	동작구	소계	167,766	64,101	41,489	31,918	23,829	5,153	1,044	232
2020	동작구	노량진2동	6,087	3,064	1,523	836	502	132	28	X
2020	동작구	상도1동	20,167	8,604	4,448	3,680	2,764	554	92	25
2020	동작구	상도2동	11,504	4,013	2,877	2,327	1,823	379	70	15
2020	동작구	상도3동	10,902	4,214	2,847	2,004	1,421	319	75	22
2020	동작구	상도4동	12,480	4,618	3,266	2,405	1,712	385	75	19
2020	동작구	사당1동	12,050	6,345	2,892	1,571	976	216	37	13
2020	동작구	사당3동	9,522	2,583	2,578	2,244	1,674	351	74	18
2020	동작구	사당4동	6,514	2,651	1,680	1,155	826	168	30	X
2020	동작구	사당5동	6,092	2,007	1,639	1,330	892	178	41	5
2020	동작구	대방동	16,071	6,011	3,524	3,083	2,746	573	107	27
2020	동작구	신대방1동	9,439	3,128	2,203	1,920	1,732	361	81	14
2020	동작구	신대방2동	8,792	3,672	1,943	1,513	1,278	303	67	16
2020	동작구	흑석동	13,411	4,562	3,299	2,886	2,082	459	108	15
2020	동작구	노량진1동	14,048	5,604	3,562	2,550	1,803	418	89	22
2020	동작구	사당2동	10,687	3,025	3,208	2,414	1,598	357	70	15
2020	관악구	소계	248,959	129,233	56,162	33,671	23,251	5,263	1,130	249
2020	관악구	보라매동	11,517	5,182	2,885	1,806	1,274	298	65	7
2020	관악구	청림동	5,928	1,403	1,805	1,466	998	189	53	14
2020	관악구	행운동	16,390	9,674	3,386	1,807	1,170	285	61	7
2020	관악구	낙성대동	9,831	6,341	1,856	894	556	148	27	9
2020	관악구	중앙동	8,882	5,565	1,798	827	530	133	22	7
2020	관악구	인헌동	13,186	6,776	2,981	1,797	1,273	295	46	18
2020	관악구	남현동	8,579	3,855	2,226	1,348	901	197	40	12
2020	관악구	서원동	12,921	7,607	2,949	1,388	742	176	49	10
2020	관악구	신원동	9,916	5,505	2,382	1,137	720	130	34	8
2020	관악구	서림동	12,967	7,735	2,661	1,391	891	228	44	17
2020	관악구	신사동	12,500	7,282	2,547	1,487	942	185	43	14
2020	관악구	신림동	15,529	11,942	2,439	714	334	81	16	X
2020	관악구	난향동	5,737	1,354	1,594	1,336	1,100	263	73	17
2020	관악구	조원동	9,537	5,581	2,004	1,053	696	165	33	5
2020	관악구	대학동	14,109	9,718	2,197	1,239	734	172	43	6
2020	관악구	은천동	14,837	5,723	3,860	2,668	2,015	439	113	19
2020	관악구	성현동	11,561	3,082	3,139	2,637	2,151	458	82	12
